objectid,fod_id,fpa_id,source_system_type,source_system,nwcg_reporting_agency,nwcg_reporting_unit_id,nwcg_reporting_unit_name,source_reporting_unit,source_reporting_unit_name,local_fire_report_id,local_incident_id,fire_code,fire_name,ics_209_incident_number,ics_209_name,mtbs_id,mtbs_fire_name,complex_name,fire_year,discovery_date,discovery_doy,discovery_time,stat_cause_descr,cont_date,cont_doy,cont_time,fire_size,fire_size_class,latitude,longitude,owner_code,owner_descr,state,county,fips_code,fips_name,year,month,doy,fire_size_log
947362,1074956,SWRA_VA_5841,NONFED,ST-VAVAS,ST/C&L,USVAVAS,Virginia Department of Forestry,VAVAS5,Tappahannock District,NA,716,NA,NA,NA,NA,NA,NA,NA,1998,8680-12-29,327,NA,Arson,NA,NA,NA,0.2,A,36.6283,-79.7367,14,MISSING/NOT SPECIFIED,VA,NA,NA,NA,8680,Dec,364,0.18232155679395465
858142,980167,SWRA_AL_53683,NONFED,ST-ALALS,ST/C&L,USALALS,Alabama Forestry Commission,ALALS4,AFC District 4,NA,86.709,NA,NA,NA,NA,NA,NA,NA,2002,8684-05-30,114,NA,Arson,NA,NA,NA,20,C,31.2981,-86.7097,14,MISSING/NOT SPECIFIED,AL,NA,NA,NA,8684,May,151,3.044522437723423
1056699,1186760,TFS_NC_235847,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS206,NCS Region 2 District 6,NA,04-047,NA,ARMY RD #2,NA,NA,NA,NA,NA,2004,8686-05-16,100,NA,Arson,NA,NA,NA,1,B,35.0333,-79.3833,14,MISSING/NOT SPECIFIED,NC,NA,NA,NA,8686,May,136,0.6931471805599453
935086,1062540,SWRA_TN_14506,NONFED,ST-TNTNS,ST/C&L,USTNTNS,Tennessee Division of Forestry,TNTNS3,TNS Unit 3,NA,0468,NA,NA,NA,NA,NA,NA,NA,2002,8684-11-22,290,NA,Arson,NA,NA,NA,1.5,B,35.2533,-85.6883,14,MISSING/NOT SPECIFIED,TN,NA,NA,NA,8684,Nov,327,0.9162907318741551
1404150,19100131,SFO-GA-MCI-46-2/15/1994-1530,NONFED,ST-GAGAS,ST/C&L,USGAGAS,Georgia Forestry Commission,GAGAS,Georgia Forestry Commission,NA,46,NA,NA,NA,NA,NA,NA,NA,1994,8676-03-23,46,1530,Arson,2449398.5,46,1655,0.4,B,31.635,-81.3934,8,PRIVATE,GA,McIntosh            ,191,McIntosh,8676,Mar,83,0.33647223662121295
1385052,19080821,SFO-GA-BUR-72-4/19/1997-1540,NONFED,ST-GAGAS,ST/C&L,USGAGAS,Georgia Forestry Commission,GAGAS,Georgia Forestry Commission,NA,72,NA,NA,NA,NA,NA,NA,NA,1997,8679-05-26,109,1540,Arson,NA,NA,NA,3,B,33.195,-82.0106,8,PRIVATE,GA,Burke               ,033,Burke,8679,May,146,1.3862943611198906
1803827,300217154,W-677667,FED,DOI-WFMI,BIA,USWASPA,Spokane Agency,WASPA,Spokane Agency,11,NA,JJ51,WILD WILLOW,NA,NA,NA,NA,NA,2015,8697-04-16,70,1300,Arson,2457111.5,89,1600,30,C,47.9786,-118.3056,2,BIA,WA,NA,NA,NA,8697,Apr,106,3.4339872044851463
1055260,1185311,TFS_NC_234392,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS108,NCS Region 1 District 8,NA,04-024,NA,HWY 76#2,NA,NA,NA,NA,NA,2004,8686-05-14,98,NA,Arson,NA,NA,NA,0.1,A,34.3167,-78.9833,14,MISSING/NOT SPECIFIED,NC,NA,NA,NA,8686,May,134,0.09531017980432487
1426967,19505807,NCST-009-20100042,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS,North Carolina Division of Forest Resources,NA,NA,NA,BRIGHTEN ROAD,NA,NA,NA,NA,NA,2010,8692-10-26,263,1230,Arson,2455459.5,263,1645,1,B,34.42996666,-78.37978333,8,PRIVATE,NC,Bladen,017,Bladen,8692,Oct,300,0.6931471805599453
1063720,1276133,FWS-2007MDENRDF62,FED,FWS-FMIS,FWS,USMDENR,Eastern Neck National Wildlife Refuge,MDENR,Eastern Neck National Wildlife Refuge,NA,NA,DF62,BAYVIEW,NA,NA,NA,NA,NA,2007,8689-06-21,136,1430,Arson,2454236.5,136,1715,0.1,A,39.03222222,-76.23944444,4,FWS,MD,NA,NA,NA,8689,Jun,172,0.09531017980432487
571484,616597,SFO-PA0413-17081116,NONFED,ST-NASF,ST/C&L,USPAPAS,Pennsylvania Division of Forest Fire Protection,PAPA17,PAS District 17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,8690-07-22,167,NA,Arson,NA,NA,NA,0.3,B,40.32444,-75.91111,14,MISSING/NOT SPECIFIED,PA,NA,NA,NA,8690,Jul,203,0.26236426446749106
918571,1045819,SWRA_SC_59451,NONFED,ST-SCSCS,ST/C&L,USSCSCS,South Carolina Forestry Commission,SCSCS5,SCS Unit 5,NA,C196,NA,NA,NA,NA,NA,NA,NA,2000,8682-07-15,160,NA,Arson,NA,NA,NA,0.5,B,32.7067,-80.8697,14,MISSING/NOT SPECIFIED,SC,NA,NA,NA,8682,Jul,196,0.4054651081081644
1798909,300211314,W-680488,FED,DOI-WFMI,BIA,USMNRLA,Red Lake Agency,MNRLA,Red Lake Agency,185,NA,NA,RL 185,NA,NA,NA,NA,NA,2015,8697-05-11,95,2245,Arson,2457117.5,95,2258,0.3,B,47.8758,-94.9125,2,BIA,MN,NA,NA,NA,8697,May,131,0.26236426446749106
175071,177095,W-373742,FED,DOI-WFMI,BIA,USFLSEA,Seminole Tribe,FLSEA,Seminole Tribe,41,NA,NA,HUFFBRIDGE,NA,NA,NA,NA,NA,1999,8681-04-29,83,1430,Arson,2451261.5,83,1500,0.2,A,26.3004,-80.8998,2,BIA,FL,NA,NA,NA,8681,Apr,119,0.18232155679395465
82780,83720,FS-308483,FED,FS-FIRESTAT,FS,USKYDBF,Daniel Boone National Forest,0802,Daniel Boone National Forest,25,NA,NA,MIDNIGHT II,NA,NA,NA,NA,NA,1995,8677-04-20,74,2330,Arson,2449792.5,75,0130,0.5,B,36.71666667,-84.395,5,USFS,KY,NA,NA,NA,8677,Apr,110,0.4054651081081644
1240045,1643138,SFO-GA-FY2000-Pickens-026,NONFED,ST-NASF,ST/C&L,USGAGAS,Georgia Forestry Commission,GAGAS,Georgia Forestry Commission,NA,FY2000-Pickens-026,NA,FY2000-PICKENS-026,NA,NA,NA,NA,NA,2000,8682-04-01,55,0245,Arson,2451598.5,55,0245,1.44,B,34.4299,-84.344,8,PRIVATE,GA,Pickens,227,Pickens,8682,Apr,91,0.8919980393051105
